observation_id,source_id,actor_id,handle,content,timestamp,pgp_key,wallet_address,domain,url,category,language,observation_type,confidence,first_seen,last_seen
OBS_000011,SRC_003639,,RogueReaper,Migration notice: old profile will yo Comment thread praising a seller's communication idk Recruitment-style post seeking collaborators for unspecified yo,2025-04-10T17:13:03Z,,,,SRC_003639/post/POST_009402,general,en,post,0.49,2025-04-10T17:13:03Z,2025-04-13T17:13:03Z
OBS_000012,SRC_005309,ACT_0031,RogueReaper,Migration notice: old profile will yo Comment thread praising a seller's communication idk Recruitment-style post seeking collaborators for unspecified yo,2025-04-11T17:13:03Z,,,,SRC_003639/post/POST_009402,general,en,post,0.35,2025-04-11T17:13:03Z,2025-04-18T17:13:03Z
OBS_000013,SRC_003608,ACT_0048,CrimsonTrace,Feedback exchange about response times and support yo,2026-07-18T23:37:08Z,,,,,general,en,post,0.95,2026-07-18T23:37:08Z,2026-07-30T23:37:08Z
OBS_000014,SRC_003292,ACT_0039,UmbraWarden,"Consequently, Complaint thread about a delayed shipment reference and refnud process. delayed process. delayed Furthermore, Casual chat referencing recent downtime of a synthetic feed source. source. chat",2026-07-09T15:58:03Z,,,,SRC_003292/post/POST_001986,listing,en,post,0.64,2026-07-09T15:58:03Z,2026-07-29T15:58:03Z
OBS_000015,SRC_002495,ACT_0001,SilentTrace,,2026-02-07T11:52:29Z,,,,SRC_002495/post/POST_002095,dispute,en,post,0.66,2026-02-07T11:52:29Z,2026-02-09T11:52:29Z
OBS_000016,SRC_001172,ACT_0001,SilentTrace,,2026-02-08T11:52:29Z,,,,SRC_002495/post/POST_002095,dispute,en,post,0.2,2026-02-08T11:52:29Z,2026-02-08T11:52:29Z
OBS_000017,SRC_005536,ACT_0025,ChromeOrbit,"Furthermore, General commentary on market trends without technical specifics. technical without on Consequently, General commnetary on market rtends without tcehnical specifics. on without markte technical market techincal Geenral In addition, Vendor rebuttal to a negative review, disputing timeline calims. dipsuting eVndor Moreover, Comment thread praising a seller's communication and turnaround time. praising a praising a communication stay safe out there friends",2026-07-05T12:49:56Z,,,,SRC_005536/post/POST_001502,feedback,en,post,0.73,2026-07-05T12:49:56Z,2026-07-12T12:49:56Z
OBS_000018,SRC_004844,ACT_0033,TalonSentinel,"Dispute resolution update form an administrator, no personal data shared. from Dsipute smh!! Announcement of new listing category opening on the marketplace. new category Announcement smh... Moderation notice regarding forum rules fro listing categories. regarding Moderation listing smh!!! trust but verify always",2026-05-05T14:20:37Z,,,,SRC_004844/post/POST_005582,,en,post,0.78,2026-05-05T14:20:37Z,2026-05-16T14:20:37Z
OBS_000019,SRC_000403,ACT_0050,ShadowNode,"Vendor rebuttal to a neagtive review, disputing timeline claims. negative a Vendor negative... Complaint thread about a delayed shipment reference and refund!!! Feedback exchange about repsonse times and support tickets. response support response... Technical discussion about generic inrfastructure uptime and hosting reliability. discussion infrastrutcure uptime uptime reliability. about!!",2026-07-15T14:55:47Z,,,,,announcement,en,post,0.81,2026-07-15T14:55:47Z,2026-07-27T14:55:47Z
OBS_000020,SRC_004862,,CrimsonVector47,Moderation notice regarding forum rules for listing categories. rules for categories. listing regarding categories. forum rules categories. Moderation Moderation categories. regarding forum for rules Therad bump requesting mroe visibility for an existing listing. for for existing bump existing more Thread visibility existing visibility listing. visibility bump Thread listing. more for Thread Thread bump requesting mroe visibility for an existnig listing. more Thread more listing. visibility more an requesting visibility Thread Thread more more Thread existing visibiltiy visibility visbiility eRputation update posted regarding a recent vendor dispute on the marketplace. regarding the regrdaing potsed regarding the posted,2025-02-10T15:36:39Z,,,,SRC_004862/post/POST_008524,listing,en,post,0.68,2025-02-10T15:36:39Z,2025-02-20T15:36:39Z
OBS_000021,SRC_000048,ACT_0022,CrimsonVector47,Complaint thread about a delayed shipment reference and refund process. shipment delayed shipment a shipment reference refund and reference process. reference about Comlpaint shipment delayed a about,2025-12-23T13:41:10Z,,,,SRC_000048/post/POST_005325,announcement,en,post,0.54,2025-12-23T13:41:10Z,2025-12-23T13:41:10Z
OBS_000022,SRC_001418,,HavocHollow,,2025-09-12T23:16:05Z,,,,SRC_001418/post/POST_002978,,en,post,0.54,2025-09-12T23:16:05Z,2025-09-20T23:16:05Z
OBS_000023,SRC_004081,ACT_0014,HavocHollow,"Consequnetly, Generic negotiation exchange referencing a private deal without specifics. exchange private deal deal a a!!!",2025-09-17T23:16:05Z,,,,,dispute,en,post,0.24,2025-09-17T23:16:05Z,2025-09-22T23:16:05Z
OBS_000024,SRC_000659,,StormFox,"Vendor rebuttal to a negative rveiew, dsiputing timeline claims. disputing a timeline a negative disupting timleine timeline review, claims. a claims. idsputing Vendor Vendor dik",2026-03-23T22:59:26Z,,,,,moderation,en,post,0.3,2026-03-23T22:59:26Z,2026-04-09T22:59:26Z
OBS_000025,SRC_002234,ACT_0042,AshFox60,"As previously noted, Migration notice: old profile will no longer be monitored,",2025-07-21T17:33:41Z,,,,,general,en,post,0.65,2025-07-21T17:33:41Z,2025-07-22T17:33:41Z
OBS_000026,SRC_001576,ACT_0042,AshFox60,"As previously noted, Migration notice: old profile will no longer be monitored,",2025-07-23T17:33:41Z,,,,,,en,post,0.29,2025-07-23T17:33:41Z,2025-08-07T17:33:41Z
OBS_000027,SRC_004189,ACT_0034,ObsidianMoth89,"Dispute resolution update from an administrator, no personal data sahred. smh Vendor rebuttal to a negative review, disputing timeline claims. lol",2026-04-02T07:43:39Z,,,,SRC_004189/post/POST_005552,feedback,en,post,0.92,2026-04-02T07:43:39Z,2026-04-05T07:43:39Z
OBS_000028,SRC_000986,ACT_0034,,"Dispute resolution update from an administrator, no personal data sahred. smh Vendor rebuttal to a negative review, disputing timeline claims. lol",2026-04-06T07:43:39Z,,,,,feedback,en,post,0.54,2026-04-06T07:43:39Z,2026-04-14T07:43:39Z
OBS_000029,SRC_002602,,,"Moreover, Reputation update posted regardnig a recent vendor dispute on the marketplace",2026-05-12T11:20:36Z,,,,SRC_002602/post/POST_007915,feedback,en,post,0.77,2026-05-12T11:20:36Z,2026-05-15T11:20:36Z
OBS_000030,SRC_001885,ACT_0028,OnyxPulse,Announcement of new sliting categoyr opeinng on the marketlpace. opening on marketplace. Annoucneemnt new marketplace. Annuoncement the new opening of listing hte idk Compalint thread about a delayed shipemnt reference and refund process. shipmnet about delayed and delayed process. thread and about about refund and shipment process. process. refund and yo Thread bump requesting more visibility for an existing listnig. more more an visibility listing. visibility Thread more listing. more bump smh Announcement of a temporary hiatus due to unspecified opertaional security concerns. due unspecified temporary a hiatus fr fr,2025-07-22T22:37:56Z,,,,SRC_001885/post/POST_000938,moderation,en,post,0.75,2025-07-22T22:37:56Z,2025-08-10T22:37:56Z
OBS_000031,SRC_002938,ACT_0021,StormLedger,Rceruitment-style post seeking collaborators for saem rules apply as before,2026-08-14T21:15:32Z,,,,,recruitment,en,post,0.83,2026-08-14T21:15:32Z,2026-08-31T21:15:32Z
OBS_000032,SRC_003881,,StormLedger,Rceruitment-style post seeking collaborators for saem rules apply as before,2026-08-15T21:15:32Z,,,,SRC_002938/post/POST_008923,recruitment,en,post,0.59,2026-08-15T21:15:32Z,2026-08-24T21:15:32Z
OBS_000033,SRC_002882,ACT_0055,HavocSentinel,"Furthermore, Thread bump requesting more visbiiilty for an xeisting listing. existing Thread ubpm existing listing. for rqeuesting Consequently, oCmplaint thread about a delayed shipmnet reference and refnud process. rfeund",2025-12-11T13:24:26Z,,,,SRC_002882/post/POST_002321,negotiation,en,post,0.92,2025-12-11T13:24:26Z,2025-12-30T13:24:26Z
OBS_000034,SRC_004298,ACT_0047,AshForge54,,2026-02-16T22:15:34Z,,,,,,en,post,0.46,2026-02-16T22:15:34Z,2026-02-27T22:15:34Z
OBS_000035,SRC_004368,ACT_0047,AshForge54,Moderation notice regarding forum rules for listing categories. forum for notice ontice Moedratino categoires. cteagorise. ofr regarding Moderation for smh Anonuncement of new lisitng category opneing on the marketplace. Announcement new Annuoncement Announcement caetgory category new of the on fo Announcement Annoucnement category category opening opening of listing shm eRptuation update posted regarding a recent vendor dispute on the marketplace. marketplcae. posted recent the update Reputation Reputation recent the dispute update a update on recent a a dik Announceemnt of a temporary hiatus due to unspecified operational security concerns. of concerns. unspecified of hiatus Anonuncement temporary security Announcemnet unspecified hiatus secruity operational fr fr,2026-02-21T22:15:34Z,,,,SRC_004298/post/POST_001926,announcement,en,post,0.51,2026-02-21T22:15:34Z,2026-03-03T22:15:34Z
OBS_000036,SRC_005219,ACT_0058,DarkSignal,"Disupte rseolution update from an daministrator,",2026-01-29T23:53:55Z,,,,,negotiation,en,post,0.86,2026-01-29T23:53:55Z,2026-02-02T23:53:55Z
OBS_000037,SRC_001302,ACT_0058,DarkSignal,"Disupte rseolution update from an daministrator,",2026-01-31T23:53:55Z,,,,SRC_005219/post/POST_005802,negotiation,en,post,0.6,2026-01-31T23:53:55Z,2026-02-07T23:53:55Z
OBS_000038,SRC_004010,ACT_0056,AshShade20,Comment thread praising a seller's communication and turnaround time.,2025-09-28T16:09:36Z,,,,,feedback,en,post,0.56,2025-09-28T16:09:36Z,2025-10-14T16:09:36Z
OBS_000039,SRC_000321,ACT_0033,TalonSentinel,Csaual chat referencing recent downtime of a synthetic feed source. lol?! Community poll about preferred communication channel going forward. going preferred preferrde forward. channel forward. yo?! trust but verify always,2025-10-03T10:01:51Z,,,,,announcement,en,post,0.75,2025-10-03T10:01:51Z,2025-10-12T10:01:51Z
OBS_000040,SRC_005487,,FrostReaper,,2026-07-23T07:19:22Z,,,,,feedback,en,post,0.6,2026-07-23T07:19:22Z,2026-08-04T07:19:22Z
OBS_000041,SRC_002623,,CipherEcho,General commentary on market trensd without technical specifics. iwthout specifics. market np Complanit thread about a delayed shipment reference and refund process. delayed and thread refernece reference lol,2026-06-11T21:51:46Z,,,,SRC_002623/post/POST_002910,moderation,en,post,0.77,2026-06-11T21:51:46Z,2026-06-29T21:51:46Z
OBS_000042,SRC_005056,ACT_0060,,General commentary on market trensd without technical specifics. iwthout specifics. market np Complanit thread about a delayed shipment reference and refund process. delayed and thread refernece reference lol,2026-06-14T21:51:46Z,,,,SRC_002623/post/POST_002910,moderation,en,post,0.74,2026-06-14T21:51:46Z,2026-07-04T21:51:46Z
OBS_000043,SRC_002606,ACT_0060,CipherEcho,,2026-06-13T20:50:12Z,,,,SRC_002606/post/POST_001912,announcement,en,post,0.72,2026-06-13T20:50:12Z,2026-06-21T20:50:12Z
OBS_000044,SRC_005061,,CipherFalcon,"Moreover, Vendor rebuttal to a negative review, disputing tmieline claims Furthermore, Recruitment-style post seeking collaborators for",2025-11-19T16:33:50Z,,,,,listing,en,post,0.81,2025-11-19T16:33:50Z,2025-11-29T16:33:50Z
OBS_000045,SRC_004796,ACT_0042,CipherFalcon,"Moreover, Vendor rebuttal to a negative review, disputing tmieline claims Furthermore, Recruitment-style post seeking collaborators for",2025-11-20T16:33:50Z,,,,,listing,en,post,0.39,2025-11-20T16:33:50Z,2025-11-29T16:33:50Z
OBS_000046,SRC_003841,ACT_0028,,,2026-03-02T21:27:56Z,,,,SRC_003841/post/POST_009860,,en,post,0.59,2026-03-02T21:27:56Z,2026-03-15T21:27:56Z
OBS_000047,SRC_005485,ACT_0013,,Thread bupm requesting more viisbility for an existing listing. visibility listing. lisitng. existing more an an requesting more yo... Warning post aobut impersonation fo a known handle in the community. handle post Warning Warning a the community. a handle about of Warning knonw handle fr fr!!! Community poll about preferred communication channel going forward. forward. Community going about poll poll channel Community going channel plol Commuinty poll poll preferred poll about forward. forward. channel yo!!!,2026-08-24T22:41:23Z,,,,SRC_005485/post/POST_010018,dispute,en,post,0.82,2026-08-24T22:41:23Z,2026-08-25T22:41:23Z
OBS_000048,SRC_005828,,VectorPulse,Thread bupm requesting more viisbility for an existing listing. visibility listing. lisitng. existing more an an requesting more yo... Warning post aobut impersonation fo a known handle in the community. handle post Warning Warning a the community. a handle about of Warning knonw handle fr fr!!! Community poll about preferred communication channel going forward. forward. Community going about poll poll channel Community going channel plol Commuinty poll poll preferred poll about forward. forward. channel yo!!!,2026-08-26T22:41:23Z,,,,,dispute,en,post,0.62,2026-08-26T22:41:23Z,2026-09-02T22:41:23Z
OBS_000049,SRC_001350,ACT_0042,CipherFalcon,"In addition, Feedback exchange about response times and support tickets As preivously noted, Thread bump requesting more visibility for an existing listing",2026-07-24T09:40:12Z,,,,,general,en,post,0.91,2026-07-24T09:40:12Z,2026-08-13T09:40:12Z
OBS_000050,SRC_003240,ACT_0033,TalonSentinel,,2025-11-15T15:44:21Z,,,,SRC_003240/post/POST_003148,moderation,en,post,0.89,2025-11-15T15:44:21Z,2025-11-23T15:44:21Z
OBS_000051,SRC_004291,ACT_0033,TalonSentinel,"Retirement announcement citing personal reasons, thanking the community. personal citing personal personal Retirement citing the fr fr!! Moderation notice regarding forum rules for listing categories. for Modreation ngl?! rtust but verify always",2025-11-19T15:44:21Z,,,,SRC_003240/post/POST_003148,moderation,en,post,0.85,2025-11-19T15:44:21Z,2025-12-05T15:44:21Z
OBS_000052,SRC_002372,,ShadowDrift,,2025-03-06T21:40:52Z,,,,,dispute,en,post,0.91,2025-03-06T21:40:52Z,2025-03-23T21:40:52Z
OBS_000053,SRC_002597,ACT_0004,OnyxNode,"Consequently, Technical discussion about generic infrastructure uptime and hosting reliability. hosting reliability. infrastrucutre Techniacl reliability. about hosting",2026-07-02T14:35:50Z,,,,SRC_002597/post/POST_000192,feedback,en,post,0.7,2026-07-02T14:35:50Z,2026-07-09T14:35:50Z
OBS_000054,SRC_002045,ACT_0004,,"Consequently, Technical discussion about generic infrastructure uptime and hosting reliability. hosting reliability. infrastrucutre Techniacl reliability. about hosting",2026-07-03T14:35:50Z,,,,,feedback,en,post,0.2,2026-07-03T14:35:50Z,2026-07-03T14:35:50Z
OBS_000055,SRC_004993,,EmberOrbit93,Recruitment-style post seeking collaborators for unspecified project roles. unspecified for unspecfiied collaborators seeking post eseking seeking seeking unspecified Recruitment-style post unspeciifed Recruitment-style np Announcement of a temporary hiauts due to unspecified operational security concersn. security of to to a of temproary temporary Announcement security hiatus of of tbh,2026-07-27T16:55:38Z,,,,SRC_004993/post/POST_005231,,en,post,0.86,2026-07-27T16:55:38Z,2026-08-04T16:55:38Z
OBS_000056,SRC_001909,ACT_0060,,"Retirement announcement citing personla reasons, thanking the community. the the the smh",2026-04-03T23:30:18Z,,,,SRC_001909/post/POST_007286,listing,en,post,0.87,2026-04-03T23:30:18Z,2026-04-14T23:30:18Z
OBS_000057,SRC_000658,ACT_0049,EmberSignal,"Consequently, Cmomunity poll about preferred communication channel giong oCnsequently, General commentary on market trends without technical specifics. As previously noted, Community poll about preferred communication chanenl going forward. Consequently, Feedback exchange about response",2026-05-30T15:40:59Z,,,,SRC_000658/post/POST_007960,,en,post,0.77,2026-05-30T15:40:59Z,2026-06-16T15:40:59Z
OBS_000058,SRC_002214,,UmbraHollow,"Mroeover, Thread bump requesting more?!",2026-04-06T15:31:10Z,,,,,announcement,en,post,0.79,2026-04-06T15:31:10Z,2026-04-18T15:31:10Z
OBS_000059,SRC_004978,ACT_0044,SilentNode,,2025-08-04T21:02:40Z,,,,,,en,post,0.83,2025-08-04T21:02:40Z,2025-08-20T21:02:40Z
OBS_000060,SRC_000403,ACT_0051,,,2026-07-22T10:03:29Z,,,,SRC_000403/post/POST_005099,,en,post,0.63,2026-07-22T10:03:29Z,2026-07-27T10:03:29Z
OBS_000061,SRC_004025,ACT_0002,ShadowDrift,Technical discussion about gneerci infrastructure uptime and hosting reliability. about infrastructure uptime about discussion and uptime idk,2025-08-07T22:56:35Z,,,,,general,en,post,0.76,2025-08-07T22:56:35Z,2025-08-18T22:56:35Z
OBS_000062,SRC_001493,ACT_0011,StormMarrow12,Thread bump requesting more visibility for an existing listing. more visibliity exsiting requesting an an for bump bump listing. more existing bump Warning post about impersonation of a known handle in the community. the Warning known of handle about,2026-05-26T15:51:41Z,,,,SRC_001493/post/POST_000054,negotiation,en,post,0.92,2026-05-26T15:51:41Z,2026-06-06T15:51:41Z
OBS_000063,SRC_003599,ACT_0056,AshShade20,Vendor rebuttal to a Community poll about preferred communication Announcement of new listing,2025-10-05T12:27:56Z,,,,SRC_003599/post/POST_010212,,en,post,0.47,2025-10-05T12:27:56Z,2025-10-09T12:27:56Z
OBS_000064,SRC_002093,ACT_0034,PhantomOrbit,Complaint thread about a delayed shipment reference and refund prcoess. np Reputation update posted regarding a recent vendor dispute on the marketpalce. posted idk General commentary on market trends iwthout technical sepcifics. technical specifics. without trends specifics. specifics. specifics. trends idk Moderation notice reagrding formu rules for listing categories. notcie regarding categories. idk,2025-10-01T17:26:32Z,,,,SRC_002093/post/POST_003901,dispute,en,post,0.8,2025-10-01T17:26:32Z,2025-10-16T17:26:32Z
OBS_000065,SRC_001721,ACT_0020,NightCipher,,2026-01-16T23:57:21Z,,,,SRC_001721/post/POST_001565,negotiation,en,post,0.79,2026-01-16T23:57:21Z,2026-01-19T23:57:21Z
OBS_000066,SRC_004037,ACT_0049,EmberSignal,"Furthermore, Complaint thread about a delayed sphiment reference and rfeund Furthermore, Announcement of a temporary hiatus As previously noted, General commentary on market trends As previously noted, Warning post about impersonation of",2026-06-18T10:25:15Z,,,,SRC_004037/post/POST_006324,,en,post,0.68,2026-06-18T10:25:15Z,2026-07-05T10:25:15Z
OBS_000067,SRC_004194,,EmberWolf,"As previously noted, Announcmeent of a temporary hiatus due to unspecified operational security concerns. unspecified Announcement temproary operational to operational secruity concerns. concerns. unspceified due unspecified operational Announcement unspecified?!",2025-09-24T20:53:56Z,,,,SRC_004194/post/POST_006419,negotiation,en,post,0.9,2025-09-24T20:53:56Z,2025-10-05T20:53:56Z
OBS_000068,SRC_002481,ACT_0033,TalonSentinel,Announcement of a temporary hiatus due to unspecified operaitonal security concerns. concerns. concerns. of to np!!! Casual chat referencing recent downtime of a synthetic feed source. fr fr!! Generic negotiation exchange referencing a private deal without specifics. without exchange specifics. referencnig yo?! Feedback exchange about response itmes and support tickets. tickets. Feedback tbh?! trust but verify always,2025-08-23T07:35:48Z,,,,SRC_002481/post/POST_000770,dispute,en,post,0.91,2025-08-23T07:35:48Z,2025-08-31T07:35:48Z
OBS_000069,SRC_002151,,FrostSignal,"Vendor rebuttal to a negative review, dispuitng timeline claims. timeline rebuttal tmieline disputing to to review, review, to disputing claims. negative np",2026-08-12T15:06:08Z,,,,SRC_002151/post/POST_010367,moderation,en,post,0.63,2026-08-12T15:06:08Z,2026-08-29T15:06:08Z
OBS_000070,SRC_004697,ACT_0051,FrostSignal,,2026-08-13T15:06:08Z,,,,SRC_002151/post/POST_010367,moderation,en,post,0.65,2026-08-13T15:06:08Z,2026-08-16T15:06:08Z
OBS_000071,SRC_001563,ACT_0048,CrimsonTrace,,2024-11-20T20:48:51Z,,,,,announcement,en,post,0.5,2024-11-20T20:48:51Z,2024-12-03T20:48:51Z
OBS_000072,SRC_002000,ACT_0048,CrimsonTrace,General discussion about escrow timelines and np Feedback exchange about response times and support idk,2024-11-25T20:48:51Z,,,,,,en,post,0.68,2024-11-25T20:48:51Z,2024-12-09T20:48:51Z
OBS_000073,SRC_002489,ACT_0002,,"Announcement of new listing category opening on the mraketplace. opening Announcement smh Comment thread praising a seller's communication and turnaround time. communication np Moderation notice regarding forum rules for listing categories. categoires. notice categories. np Dispute reoslution upadte from an administrator, no personal data shared. update shared. update np",2025-08-13T23:30:42Z,,,,,feedback,en,post,0.81,2025-08-13T23:30:42Z,2025-08-29T23:30:42Z
OBS_000074,SRC_000041,,ShadowDrift,"Announcement of new listing category opening on the mraketplace. opening Announcement smh Comment thread praising a seller's communication and turnaround time. communication np Moderation notice regarding forum rules for listing categories. categoires. notice categories. np Dispute reoslution upadte from an administrator, no personal data shared. update shared. update np",2025-08-14T23:30:42Z,,,,SRC_002489/post/POST_003153,feedback,en,post,0.85,2025-08-14T23:30:42Z,2025-08-16T23:30:42Z
OBS_000075,SRC_004904,ACT_0025,ChromeOrbit,"As previously noted, Feedback exchange about response times and support tickets. support support about tickets. times about exchange itmes Furtheromre, Feedback exchange about response times and supoprt tickets. response exchange and Feedback times times In addition, Announcement of a tepmorary haitus due to unspecified operatoinal security conecrns. hiatus concerns. operational Consequently, Announcement fo new listing category opening on the marketplace. of of stay safe out there friedns",2026-07-13T13:21:29Z,,,,SRC_004904/post/POST_000446,,en,post,0.76,2026-07-13T13:21:29Z,2026-07-29T13:21:29Z
OBS_000076,SRC_002550,ACT_0013,VectorNode,General discussion about escrow timeilnes and buyer complaints. General timelines about timelines buyer timelines buyer timelines ubyer complaints. timelines and discussion fr rf!! General commentary on marekt trends without technical specifics. trends commentary commentary psecifisc. specifics. on market commentary commentary on market General without General oy!!!,2026-07-24T22:12:59Z,,,,SRC_002550/post/POST_008364,negotiation,en,post,0.84,2026-07-24T22:12:59Z,2026-08-10T22:12:59Z
OBS_000077,SRC_000030,ACT_0025,TalonEcho,"Consequently, Technical discussion about generic infrastructure uptime and hosting reliability. generic discussion uptime reliability. discussion uptime generic stay safe out there friedns",2026-08-26T12:52:44Z,,,,SRC_000030/post/POST_006753,negotiation,en,post,0.48,2026-08-26T12:52:44Z,2026-09-11T12:52:44Z
OBS_000078,SRC_003566,ACT_0025,TalonEcho,"Consequently, Technical discussion about generic infrastructure uptime and hosting reliability. generic discussion uptime reliability. discussion uptime generic stay safe out there friedns",2026-08-28T12:52:44Z,,,,SRC_000030/post/POST_006753,,en,post,0.56,2026-08-28T12:52:44Z,2026-09-14T12:52:44Z
OBS_000079,SRC_005778,ACT_0006,ForgeVector,Warning post about impersonation Generic negotiaiton exchange refreencing a private deal Complaint thread about a,2025-09-16T23:45:53Z,,,,SRC_005778/post/POST_009935,general,en,post,0.54,2025-09-16T23:45:53Z,2025-09-16T23:45:53Z
OBS_000080,SRC_001447,ACT_0006,ForgeVector,Warning post about impersonation Generic negotiaiton exchange refreencing a private deal Complaint thread about a,2025-09-18T23:45:53Z,,,,,general,en,post,0.72,2025-09-18T23:45:53Z,2025-10-05T23:45:53Z
OBS_000081,SRC_005598,ACT_0039,UmbraWarden,"Moreover, Recruitment-style post seeking collaborators for unspecified project roles. post project roles. collaborators collaborators eRcruitment-style Moreover, Migration notice: old profile will no longer be monitored, redirecting",2026-05-26T04:29:29Z,,,,,,en,post,0.56,2026-05-26T04:29:29Z,2026-05-30T04:29:29Z
OBS_000082,SRC_002904,ACT_0002,ShadowDrift,"Reputation update posted regarding a recent vendor dispute on the marketplace. marketplace. the a Reputation dispute smh Reputation update posted regarding a recent vendor dispute on the marketplace. regarding recent fr fr Migration noitec: old profile will no longer be monitored, smh",2025-07-24T20:38:01Z,,,,SRC_002904/post/POST_004283,feedback,en,post,0.89,2025-07-24T20:38:01Z,2025-07-30T20:38:01Z
OBS_000083,SRC_005535,,SilentOrbit,General commentary on market trends without technical spcefiics. technical without commentary technical np,2024-06-18T17:52:50Z,,,,,recruitment,en,post,0.73,2024-06-18T17:52:50Z,2024-06-28T17:52:50Z
OBS_000084,SRC_002594,,GhostCrow,"Dispute eroslution update from an administrator, no personal data shared?! Vendor rebuttal to a negative review, disputing timeline claims. a claims. timeline claims. a rebuttal Vendor!!",2026-08-13T10:21:30Z,,,,SRC_002594/post/POST_005978,,en,post,0.55,2026-08-13T10:21:30Z,2026-08-29T10:21:30Z
