post_id,actor_id,handle,source_id,content,timestamp,language,category,reply_count,parent_post_id,sentiment_score,word_count,avg_sentence_length,punctuation_ratio,technical_term_ratio,repeated_phrase_flag
POST_000031,ACT_0012,ObsidianRoot49,SRC_002291,Moderation notice regarding forum rules for listing Complaint thread about a delayed shipment reference and Casual chat referencing recent downtime of a reuptation is everything heer,2025-11-03T21:05:43Z,en,dispute,1,,-0.07,26,26.0,0.0,0.0,True
POST_000032,ACT_0007,IronWolf81,SRC_003055,"Vendor rebuttal to a negative review, disputing timeline claims. np no drama just business",2026-01-27T14:39:17Z,en,announcement,0,,-0.171,14,7.0,0.143,0.0,True
POST_000033,ACT_0014,NightLedger,SRC_005609,"Furthermoer, Community plol about preferred communication channel going forward. forwrad. prefererd Community Community preferred forward. poll forward?! Furthermore, Generic negotiation exchange referencing a private deal without specifics. deal exchange a without deal!! Furthermore, Tcehnical discussion about generic infrastructure uptime and hosting reliability. uptime about?! As previously noted, Announcement of a temporary hiatus due to unspecified poerational security concerns. temporary operational...",2024-09-30T23:50:40Z,en,announcement,3,,0.508,60,6.0,0.317,0.067,False
POST_000034,ACT_0029,ChromeHex39,SRC_004392,"Announcement of new listing Vendor rebuttal to a negative review, disputing Migration notice: old proifle Migration notice: old profile will no longer",2025-01-06T13:01:20Z,en,general,1,,-0.388,22,22.0,0.136,0.0,False
POST_000035,ACT_0051,FrostSignal,SRC_004883,Community poll abotu preferred communication channel going forward. channel forward. Commuinty preferred preferred communication forward. communication preferred Community about forward. communication ngl Technical discussion about generic infrastructure uptime and ohstnig reliability. reliability. reliability. reliability. and infrastructure Technical reliability. infrastructure about generic and and about discussion generic discussion uptime hosting idk,2026-08-28T09:51:52Z,en,negotiation,0,,-0.187,50,5.0,0.18,0.12,False
POST_000036,ACT_0060,CipherEcho,SRC_003079,Comment thread prasiign a seller's communication and turnaround time. turnaround Comment Comment Comment yo,2026-05-18T23:41:56Z,en,announcement,2,,0.207,14,7.0,0.071,0.0,False
POST_000037,ACT_0052,ZeroTrace,SRC_001065,Generic negotiation exchange referencign a private deal wihtout specifics. tbh,2025-11-22T21:53:17Z,en,negotiation,2,,-0.025,10,5.0,0.1,0.0,False
POST_000038,ACT_0026,ChromeMarrow,SRC_004713,Complaint thread abuot a delayed shipment Announcement of new listing category openign Vendor rebuttal to a negative,2026-02-08T19:58:21Z,en,negotiation,1,,0.026,17,17.0,0.0,0.0,False
POST_000039,ACT_0034,PhantomOrbit,SRC_004727,"Dispute resoltuion update from an administrator, no persoanl data shared. from administrator, adminitsrtaor, smh Technical discussion about generic infrastructure uptime and hosting reliability. reliability. reliability. uptime generic discussion Tehcnical smh",2025-06-17T17:47:37Z,en,moderation,1,,-0.285,30,6.0,0.233,0.133,False
POST_000040,ACT_0004,OnyxNode,SRC_002718,"Furthermore, Announcement of a tepmorary hiatus due to unspecified operational security concerns. Announcement of",2026-07-19T10:47:55Z,en,feedback,2,,0.839,14,7.0,0.143,0.0,False
POST_000041,ACT_0048,CrimsonTrace,SRC_002781,Community poll about preferred communication channel going ofrward. fr fr Moderation notice regarding forum rules for listing categories. Moderation idk Recruitment-style post seeking collaborators for yo,2026-05-18T23:06:10Z,en,announcement,0,,0.111,26,8.67,0.077,0.0,False
POST_000042,ACT_0005,SilentVector,SRC_003661,oCmmunity poll about preferred communication channel going forward. going tbh?!,2026-08-30T12:39:36Z,en,recruitment,1,,-0.005,10,5.0,0.3,0.0,False
POST_000043,ACT_0055,StormRunner,SRC_003513,"Consequently, eRcruitment-style post seeking collabroators for unspecified rpoject roles. post collaborators collaboratosr unspceified sekeing post Furthermore, Anonuncement fo new ilsting category openign on the marektplace Furthermore, Tcehnicla discussion about generic infrastrucutre uptime and hosting reliability. infrastructure and reliability. disucssion",2025-02-08T14:45:33Z,en,announcement,1,,-0.297,39,9.75,0.154,0.077,False
POST_000044,ACT_0049,EmberSignal,SRC_002149,"In addition, General commentary on market trends without techncial specifics. market Consequently, Comment thread praising a selelr's communication and turnaround time.",2026-07-31T19:49:53Z,en,feedback,2,,0.77,21,10.5,0.19,0.0,False
POST_000045,ACT_0054,ShadowGrid,SRC_000474,"As previously noted, Announcement of new listing ctaegoyr opening on the... Furthermore, Vendro rebuttal to a negative review,?! Futrhremroe, General discussino about escrow timelines?!",2026-04-12T09:14:39Z,en,recruitment,0,,0.13,24,8.0,0.458,0.042,False
POST_000046,ACT_0048,CrimsonTrace,SRC_001462,General discussion about escrow timelines and buyer np Casual chat referencing recent downtime of a synthetic idk Announcement of new listing category opening idk Announcement of new listnig np,2026-02-17T19:49:48Z,en,listing,1,POST_000041,-0.564,29,29.0,0.0,0.034,False
POST_000047,ACT_0047,AshForge54,SRC_004961,"Retirement announcement citing personal erasons, thanking the community. commiunty. commnuity. thanking citing citing citing raesons, teh personal Rteirement community. personal thanking Retirement community. thanknig np",2026-01-24T23:12:35Z,en,dispute,0,,0.331,25,4.17,0.28,0.0,False
POST_000048,ACT_0057,CrimsonDrift,SRC_001816,Feedback exchange about response times idk Casual chat referencing recent downtime lol Moderation notice regarding ofrum idk,2025-12-13T09:47:13Z,en,recruitment,2,,0.63,17,17.0,0.0,0.0,False
POST_000049,ACT_0055,StormRunner,SRC_005484,"Furhtermore, Complaitn thread baout a delayed shimpent reference adn refund process. and and reference In addition, Vendor rebtutal to a negative review, disputing timeline lcaims. rebuttal rebuttal a",2024-12-19T13:41:51Z,en,listing,2,POST_000024,-0.622,28,9.33,0.179,0.0,False
POST_000050,ACT_0007,GhostForge71,SRC_005651,Feedback exchange about response times yo Announcement of a temporary hiatus due to np Migration notice: old profile idk Feedback exchange about response times and support tickets. times yo no drama just business,2025-12-24T12:19:26Z,en,dispute,2,POST_000032,-0.104,33,16.5,0.061,0.0,True
POST_000051,ACT_0029,ChromeHex39,SRC_004390,Feedback exchange about response times and support Comment thread praising a seller's Vendor rebuttal to a,2024-11-25T08:45:59Z,en,feedback,0,,-0.021,16,16.0,0.0,0.0,False
POST_000052,ACT_0032,VoidHollow,SRC_001082,Technical discussion about generic fr fr!! Generic negotiation exchange referencing a private deal without psecifics. np... Community poll about preferred communication chnanel goign forward. preferred np... General discussion about escrow idk?!,2026-05-26T23:30:55Z,en,moderation,0,,0.328,31,5.17,0.387,0.032,False
POST_000053,ACT_0007,IronWolf81,SRC_001227,Warning post about impersonation tbh no drama just business,2025-11-29T12:00:34Z,en,dispute,1,,-0.065,9,9.0,0.0,0.0,True
POST_000054,ACT_0011,StormMarrow12,SRC_001493,Thread bump requesting more visibility for an existing listing. more visibliity exsiting requesting an an for bump bump listing. more existing bump Warning post about impersonation of a known handle in the community. the Warning known of handle about,2026-05-26T15:51:41Z,en,negotiation,4,POST_000028,-0.125,39,9.75,0.077,0.0,False
POST_000055,ACT_0060,CipherEcho,SRC_005136,Community poll about preferred cmomunication channel going froward. channel oging preferred forward. Community about smh,2026-08-10T21:44:48Z,en,recruitment,0,,0.182,15,5.0,0.133,0.0,False
POST_000056,ACT_0020,NightCipher,SRC_001455,Recruitment-style post seeking collaborators for unspecified project roles. project project unspecified seeking,2026-08-09T21:53:00Z,en,dispute,2,,-0.08,12,6.0,0.083,0.0,False
POST_000057,ACT_0056,AshShade20,SRC_004035,Recruitment-style post seeking collaborators for unspecified General commentary on market trends,2025-02-04T16:57:28Z,en,feedback,3,,-0.439,11,11.0,0.0,0.0,False
POST_000058,ACT_0012,CipherSpire,SRC_002089,Announcement of a temporary hiatus due to unspecified reputation is everything here,2025-10-08T23:41:57Z,en,dispute,1,,0.105,12,12.0,0.0,0.0,True
POST_000059,ACT_0010,SilentFox,SRC_004394,Complaint thread about a delayed shipment reference and refund process. process. and reference and thread and about shipment delayed thread process. refund reference,2026-08-10T11:28:13Z,en,announcement,1,,-0.514,23,5.75,0.13,0.0,False
POST_000060,ACT_0023,NullEcho,SRC_002305,Comment thread praising a seller's communication and turnaround time. communication thread,2026-05-10T11:55:35Z,en,listing,1,,0.129,11,5.5,0.091,0.0,False
POST_000061,ACT_0022,CrimsonVector47,SRC_003847,"Vendor rebuttal to a negative erview, disputing timeline claims. claims. disputing negative disputing claims. rebuttal a",2025-03-05T17:54:42Z,en,listing,3,,0.258,16,4.0,0.25,0.0,False
POST_000062,ACT_0027,CrimsonWolf,SRC_001632,"In dadition, Announecment of a temporary hiatus!!! Furthremoer, nAnounceemnt of new listing cateogry oepning on the marketplace!! Consequently, Retirement announcement citing personal rseaons,!!! Moreover, Retirement announcement citing personal reasons,!!!",2024-09-26T14:16:28Z,en,general,0,,0.077,29,7.25,0.586,0.0,False
POST_000063,ACT_0023,NullEcho,SRC_004772,"Annonucement of new listing category opening on the marketplace. listing marketplace. opening on Migration notice: old profile will no longer be monitored, redirecting contacts to new handle. longer",2026-05-31T11:56:33Z,en,negotiation,2,POST_000060,0.419,28,7.0,0.179,0.0,False
POST_000064,ACT_0037,VoidMoth,SRC_000663,General discussion about escrow timelines and buyer complaints. buyer escrow and discussion discussion buyer idk Community poll about preferred communication chanenl going forward. preferred poll communication fr fr,2026-02-08T10:58:12Z,en,recruitment,2,,0.302,28,9.33,0.071,0.071,False
POST_000065,ACT_0007,IronWolf81,SRC_005598,Moderation notice regarding forum rules for listing categories. idk Moderation notice regarding forum rules for listing smh Technical discussion about generic infrastructure uptime and ngl no drama just business,2024-07-14T12:31:09Z,en,announcement,2,POST_000014,-0.023,29,14.5,0.034,0.069,True
POST_000066,ACT_0051,SilverGrid,SRC_001974,nAnouncement of a temporary hiatus due to unspecified operational security concerns. concerns. due due operational concerns. fr fr Feedback exchange about response times and spuport tickets. exchange tickets. tickets. response and tmies about about Feedback aobut times exchange tickets. Feedback yo,2026-08-31T15:30:09Z,en,moderation,0,POST_000035,0.413,41,5.12,0.171,0.0,False
POST_000067,ACT_0020,BlackRoot71,SRC_002296,Moderation notice regarding forum rules for listing categories. for rules regarding listing rules notice,2025-10-12T19:49:20Z,en,dispute,2,POST_000056,0.01,14,7.0,0.071,0.0,False
POST_000068,ACT_0056,TalonCipher,SRC_003326,Comment thread praising a seller's communication and Community poll about preferred communication channel,2025-05-28T17:53:00Z,en,announcement,2,,-0.958,13,13.0,0.0,0.0,False
POST_000069,ACT_0056,TalonCipher,SRC_002536,Community poll about preferred,2025-01-21T16:29:16Z,en,listing,2,POST_000068,0.394,4,4.0,0.0,0.0,False
POST_000070,ACT_0001,SilentTrace,SRC_003461,Technical discussion about geneirc infrastructure uptime and hosting reliability. hosting infrastructure reliability. infrastructure smh General discussion abotu escrow timelines and buyer copmlaints. about escrow timelines complaints. escrow General oll,2026-06-19T22:25:45Z,en,listing,0,,-0.194,29,5.8,0.138,0.31,False
POST_000071,ACT_0055,StormRunner,SRC_005210,"Cosnequently, nAnouncement of new listing ctaegory opening on the marketplcae. category Moreover, General dsicussion about escrow timelines and ubyre ocmlpaints. Geenral Consqeuetnly, Community poll about preferred communication channel going forward. Community aobut communiaction channel commuincation preefrred Furthermore, Community poll about preferred communitcaion channel going forward. communication poll lpol Communiyt forward. about about channel",2024-07-19T14:51:15Z,en,listing,1,,-0.117,53,8.83,0.17,0.019,False
POST_000072,ACT_0045,PhantomWolf,SRC_003656,Compalint thread about a delayed shipment reference and refund process. refund a shipment,2025-06-18T12:15:34Z,en,moderation,2,,0.468,13,6.5,0.077,0.0,False
POST_000073,ACT_0002,ShadowDrift,SRC_004666,Annuoncement of a temporary hiatus due to unspecified operational security concerns. fr fr,2026-05-26T20:47:38Z,en,dispute,0,,0.367,13,6.5,0.077,0.0,False
POST_000074,ACT_0022,CrimsonVector47,SRC_004112,"General commentary on market trends without techncial specifics. commentary commentary specifics. on without commentary on without Retirement announcement citing personal erasons, thanking the community. citing reasons, Retirement erasons, thanking community. Retirement thanking personal reasons, annonucement announcement citing Retirement the citing thanking Retirement announcement Warning post about impersonation of a known handle in the community. the impersonation post post in post impersontaion post post handel the commuinty. the handle Community poll about preferred communication channel going forward. Community preferred channel Community Community about communication preferred",2026-08-10T13:29:58Z,en,recruitment,1,,0.189,84,10.5,0.131,0.0,False
POST_000075,ACT_0036,OnyxHex,SRC_002623,"Furthermore, eVndor rebuttal to a negtaive erview, disputing timleine claims. timeline review, timeline a timeline a claims!!! Cosnequetnly, Technical discussion about geenric infrastructure uptime and ohsting reliability. infrastructure uptime infrsatructuer hosting infrastructure uptime Technical hosting reliability. about and infrastructure hosting!!!",2026-05-17T22:22:52Z,en,general,1,,0.512,40,8.0,0.325,0.25,False
POST_000076,ACT_0039,UmbraWarden,SRC_004773,"As previously noted, Technical discussion about generic infrastructure uptime and hosting reliability. Technical generic infrastructure Furthermore, Thread bump requestnig more visibility for an existing listing. visibility an listing. requesting",2026-08-02T10:47:20Z,en,announcement,1,,-0.412,29,7.25,0.172,0.138,False
POST_000077,ACT_0046,ObsidianFalcon,SRC_005686,Feedback exchange about response times,2025-09-09T04:51:21Z,en,general,2,,-0.732,5,5.0,0.0,0.0,False
POST_000078,ACT_0042,ObsidianWarden,SRC_005216,"Furthermore, Comment thread praising a seller's Moreover, Feedback exchange about response As previously noted, Recruitment-style post seeking collaborators for Moreover, Cmoment thread praising a seller's communication",2026-05-13T11:35:50Z,en,moderation,3,,0.351,26,26.0,0.154,0.0,False
POST_000079,ACT_0058,PhantomDrift95,SRC_004869,Announcement of a tempaorry hiatus due to unpseicfied Anonuncement of a temporary ihatus due to unspecified operational General commentary on market trends without tecnhical pescifcis. commentary Feedback exchange aobut response times and,2026-06-28T22:25:35Z,en,general,0,,-0.331,32,16.0,0.031,0.0,False
POST_000080,ACT_0049,EmberSignal,SRC_004983,"Furthermore, Warning post about impersonation of Moreover, Complaint thread about a delayed shipment reference and refund Consequently, General discussion about escrow timeilnes and buyer complaints.",2026-06-01T14:09:11Z,en,moderation,1,,-0.43,25,25.0,0.16,0.04,False
POST_000081,ACT_0049,EmberSignal,SRC_002308,"In addition, Retirement announcement citing personal reasons, thankign As previously noted, Moderation notice regarding forum In addition, General discussion about escrow timelines and byuer complaints. Moreover, Migration notice: old profile",2026-08-03T18:08:28Z,en,moderation,1,,-0.499,30,15.0,0.233,0.033,False
POST_000082,ACT_0007,GhostForge71,SRC_005138,Thread bump requesting more visibility for an existing idk no drama just business,2024-11-06T20:59:30Z,en,moderation,1,POST_000014,-0.106,13,13.0,0.0,0.0,True
POST_000083,ACT_0033,TalonSentinel,SRC_004573,"Reputation update posted regarding a recent vendor dispute on the marketplace. lol!! Vendor rebuttal to a negative review, disputing timeline claims. review, rebuttal tbh!!! Migration notice: old proflie will no longer be mointored, redirecting contacts oy!! trust but verify always",2026-05-03T15:42:07Z,en,announcement,0,,-0.066,40,6.67,0.325,0.0,True
POST_000084,ACT_0055,StormRunner,SRC_000104,"Furthermore, Recruitment-style post seekign collaborators for unspecified rpoject roels. roles. for project for unspceifide seeking collaborators",2025-04-15T21:48:04Z,en,negotiation,1,,-0.225,16,5.33,0.188,0.0,False
POST_000085,ACT_0001,SilentTrace,SRC_003442,Complaint threda about a delayed shipment reference and refund process. thread delayed smh Casual chat referencing recent downtime of a synthetic feed source. Casual lol,2025-11-26T16:04:05Z,en,negotiation,1,,-0.02,25,8.33,0.08,0.0,False
POST_000086,ACT_0013,VectorPulse,SRC_002897,Therad bump requesting more visibility for an existnig listing. for visibility an requesting listing. existnig listing. Threda an visibility mroe an bump idk!! General discussion about escrow timelines and buyer complaints. and discussion compliants. discussion complaints. General discussion and adn and discussion timeliens buyer about ngl!! Announcement of new listing category poening on the makretpalce. listing of litsing nAnouncement Announcement new the listing teh of tbh... Complaint thread about a dleayed shipment reference and refund process. thread therad about reference and a reference thread thread a about about thread Complaint procses. Complaint lol!!!,2026-07-16T19:10:18Z,en,negotiation,2,,-0.013,93,7.15,0.204,0.011,False
POST_000087,ACT_0007,GhostForge71,SRC_000425,Migration notice: old profile will no fr fr no drama just business,2025-04-11T12:51:39Z,en,negotiation,2,POST_000002,-0.105,12,12.0,0.083,0.0,True
POST_000088,ACT_0055,StormRunner,SRC_000079,"In addition, Rteriement announcement citing preosnal reasons, thanking the community. the the announcement Retirement Retirement As previously noted, Compalint thread about a delayed shipment reference and refund prcoses. reference thread and Complaint a Moreovre, Moderation notice regarding forum rulse for listing categories. fourm forum notice categories",2025-04-16T15:57:27Z,en,announcement,0,,-0.723,46,11.5,0.152,0.0,False
POST_000089,ACT_0004,OnyxNode,SRC_004985,"oCnsequently, Vendor rebuttal to a negative review, disputing timeline claims. a",2026-05-04T17:03:17Z,en,feedback,2,,0.053,11,5.5,0.273,0.0,False
POST_000090,ACT_0033,TalonSentinel,SRC_001701,Complaint thread about a delayed shipment reference and refund process. yo... Generic negotiation exchange referencing a private deal without specifics. a negotiation np?! Community poll about preferred communication channel going forward. about forward. channel about fr fr!!! Feedback exchange about response times and support tickets. about exchange tikcets. times tickets. support times and np... trust but verify always,2025-11-01T11:33:26Z,en,negotiation,2,,-0.56,58,4.83,0.31,0.0,True
POST_000091,ACT_0033,TalonSentinel,SRC_000892,Casual chat referencing recent downtime of a synthetic feed source. synthetic downtime yo?! trsut but verify always,2026-07-09T10:56:35Z,en,listing,0,,-0.633,17,5.67,0.176,0.0,True
POST_000092,ACT_0050,ShadowNode,SRC_001417,"Vendor rebuttal to a negative review, disputing timeline claims. disputing a... Announcement of a temporary hiatus due to unspecified operational!!!",2026-08-10T14:16:26Z,en,feedback,1,,0.262,20,6.67,0.4,0.0,False
POST_000093,ACT_0024,OnyxEcho,SRC_002030,Genreic negotiation exchange referencing a private deal without specifics. referencing private specifics.,2025-12-22T23:14:17Z,en,dispute,2,,-0.265,12,6.0,0.167,0.0,False
POST_000094,ACT_0057,DriftReaper,SRC_004646,Complaint thread about a delayed ngl Comment thread praising a seller's communication and turnaround ngl Casual chat referencing recent downtime of ngl Warning post about impersonation smh,2026-01-05T12:54:08Z,en,general,1,,0.117,27,27.0,0.0,0.0,False
POST_000095,ACT_0021,StormWolf89,SRC_002009,Reputation update posted regrading a recent vendor dispute asme rules apply as before,2026-08-09T23:53:54Z,en,listing,1,,0.353,13,13.0,0.0,0.0,True
POST_000096,ACT_0034,HavocSentinel54,SRC_005794,Announcement of a temporary hiatus due to unspecified operational fr fr Comment thread praising a seller's communication and turnaround time. and a communication a seller's a thraed ngl General commentary on market trends without technical specifics. technicla General General comemntary ngl,2026-08-26T13:46:45Z,en,moderation,1,POST_000039,-0.15,41,13.67,0.049,0.0,False
